feature 2;cg12045430;WASH5P
feature 199291;cg22500876;null
feature 264830;cg04552206;TLX1
feature 68218;cg21563471;ERMN
feature 166526;cg14635654;PBX2
feature 19069;cg08638320;FOXD2
feature 297594;cg16675758;null
feature 84606;cg00687135;ZNF385D
feature 264837;cg02167020;null
feature 264838;cg10420161;null
feature 264839;cg14038391;null
feature 461442;cg01975706;JAM2
feature 330371;cg08207253;SUGT1P3
feature 297602;cg24759348;null
feature 346754;cg15731816;YLPM1
feature 445068;cg07611790;RASIP1
feature 35467;cg22379576;CENPL
feature 330382;cg18456803;ELF1
feature 166542;cg16602460;PBX2
feature 248462;cg14607755;SAPCD2
feature 166540;cg10017982;PBX2
feature 117391;cg01718788;CNOT6L
feature 133773;cg10608476;null
feature 297622;cg07067710;null
feature 101010;cg02797930;ARHGEF26
feature 477843;cg01472347;null
feature 264848;cg26701408;null
feature 346771;cg02110830;PROX2
feature 379538;cg01754713;TRIM72
feature 215700;cg10602282;null
feature 117401;cg18450378;MRPL1
feature 248474;cg15396367;UAP1L1
feature 19100;cg19250799;null
feature 84636;cg16164622;null
feature 68255;cg20453861;ACVR1
feature 68258;cg16326402;ACVR1
feature 51877;cg10357060;DPYSL5
feature 346787;cg09227064;DLST
feature 35496;cg17025683;SNORD78
feature 84649;cg18257541;UBE2E2
feature 232107;cg25876227;GRHL2
feature 412335;cg23513814;GRIN2C
feature 346798;cg26191576;RPS6KL1
feature 117423;cg02467765;FRAS1
feature 166578;cg14044426;GPSM3
feature 232114;cg20039257;NCALD
feature 346807;cg05076631;PGF
feature 35507;cg04102126;SNORD76
feature 84663;cg10580397;UBE2E2
feature 379581;cg00764981;ITGAM
feature 215739;cg23687058;SHH
feature 182968;cg04275695;ZC3H12D
feature 19135;cg11856897;null
feature 68289;cg24986868;PKP4
feature 297669;cg10317815;null
feature 2753;cg09245989;PANK4
feature 346822;cg00679184;null
feature 395970;cg10708955;PER1
feature 264898;cg07919108;null
feature 51911;cg12910107;null
feature 35527;cg27631005;SERPINC1
feature 264899;cg17183432;null
feature 395983;cg11257113;null
feature 150223;cg07729453;COL23A1
feature 428747;cg13786089;ZFR2
feature 19151;cg08104733;null
feature 248531;cg19365406;GRIN1
feature 264917;cg19547319;LBX1
feature 182993;cg03358887;GINM1
feature 51924;cg01900371;TMEM214
feature 445139;cg01093065;PLEKHA4
feature 297692;cg17238412;null
feature 346844;cg15467112;MLH3
feature 281311;cg06979684;BDNF
feature 330459;cg16425060;NAA16
feature 101088;cg20216802;MME
feature 117474;cg20948271;FRAS1
feature 346851;cg07550334;MLH3
feature 248548;cg21233003;GRIN1
feature 363245;cg12593608;HEXA-AS1
feature 183016;cg27409974;LATS1
feature 428780;cg06371014;ATCAY
feature 133864;cg21919658;null
feature 133871;cg25124045;null
feature 461559;cg13662262;LTN1
feature 51956;cg14435092;null
feature 264945;cg07050616;LBX1-AS1
feature 51958;cg20946600;null
feature 330482;cg14915290;OR7E37P
feature 215796;cg25030862;null
feature 396030;cg20211509;BORCS6
feature 84730;cg05036608;RPL15
feature 19196;cg18376692;null
feature 150271;cg08475953;COL23A1
feature 117502;ch.4.79753186F;null
feature 346874;cg12125332;ZC2HC1C
feature 51968;cg15895197;EMILIN1
feature 396039;cg25912016;BORCS6
feature 51970;cg20516209;EMILIN1
feature 19203;cg15001714;null
feature 35591;cg13673319;CACYBP
feature 330498;cg20472746;RGCC
feature 363277;cg25936980;ARIH1
feature 428811;cg06539494;DAPK3
feature 150287;cg08496276;COL23A1
feature 166669;cg04864990;NOTCH4
feature 68369;cg22855764;TANC1
feature 396050;cg11009596;AURKB
feature 133911;cg20971045;null
feature 35605;cg00820581;CACYBP
feature 84758;cg05609780;NR1D2
feature 199451;cg14668118;null
feature 248602;cg14144201;null
feature 150296;cg12927715;CLK4
feature 215832;cg22885540;null
feature 445210;cg03039974;FTL
feature 166687;cg13336485;NOTCH4
feature 281370;cg10635145;BDNF
feature 68385;cg14716058;TANC1
feature 248609;cg01870113;NDOR1
feature 101159;cg20053829;C3orf33
feature 166692;cg22566787;NOTCH4
feature 330530;cg21888330;null
feature 215851;cg21825418;null
feature 477998;cg04288012;HUWE1
feature 281385;cg01583131;BDNF
feature 117551;cg11574620;NAA11
feature 297770;cg05921324;APOA4
feature 363307;cg03441853;ADPGK
feature 232241;cg07028608;KLF10
feature 84787;cg23049130;THRB
feature 330544;cg14812492;DGKH
feature 428851;cg00769112;EEF2
feature 314162;cg15689991;RASSF3
feature 412479;cg08757721;CDR2L
feature 215864;cg24045038;null
feature 150338;cg21473545;AACSP1
feature 265029;cg22558825;null
feature 150339;cg15296538;AACSP1
feature 133952;cg04530345;ARL15
feature 461636;cg26680301;BACH1
feature 2884;cg11677857;MMEL1
feature 330560;cg19307180;DGKH
feature 2885;cg00980319;MMEL1
feature 117572;ch.4.80657279F;null
feature 19271;cg11666087;BEND5
feature 215876;cg01896230;null
feature 428878;cg02957150;EEF2
feature 84811;cg03287940;THRB
feature 379726;cg02318567;null
feature 2893;cg21162779;MMEL1
feature 478038;cg13649400;FAM120C
feature 199505;cg08889336;null
feature 379731;cg01027010;null
feature 84823;cg21904937;null
feature 461649;cg08379637;GRIK1
feature 150362;cg08584628;ZNF354B
feature 117593;cg01307684;ANTXR2
feature 478046;cg02896496;WNK3
feature 199514;cg22455271;TNS3
feature 428895;cg10674611;PIAS4
feature 314206;cg14019323;null
feature 379737;cg16635314;YBX3P1
feature 2911;cg21584800;null
feature 117601;cg08174504;ANTXR2
feature 461667;cg06427867;CLDN8
feature 445282;cg24346124;CGB1
feature 2918;cg00017437;null
feature 133995;cg14684434;SNX18
feature 248682;cg13977355;TOR4A
feature 199529;cg11460832;TNS3
feature 330606;cg22956205;null
feature 35693;cg24861859;TNR
feature 248684;cg20034617;TOR4A
feature 461672;cg09892262;KRTAP24-1
feature 84849;cg24274090;null
feature 84853;cg11177552;null
feature 117620;cg19595012;PRDM8
feature 150392;cg02165355;ZNF454
feature 461693;cg24422202;KRTAP13-2
feature 215929;cg09069412;null
feature 19323;cg01511557;ELAVL4
feature 281466;cg26380106;null
feature 215938;cg03980072;null
feature 461701;cg06468780;KRTAP13-3
feature 68487;cg23008083;ITGB6
feature 166788;cg11868595;NOTCH4
feature 2951;cg08624093;null
feature 215946;cg13002167;null
feature 84875;cg26786980;RARB
feature 297870;cg00753089;SIDT2
feature 347022;cg09937039;BATF
feature 215950;cg13613793;null
feature 281492;cg14161359;KCNA4
feature 445332;cg01501819;KCNA7
feature 150416;cg01814344;GRM6
feature 412565;cg11698035;ARMC7
feature 2963;cg19817291;null
feature 232342;cg10184441;ATP6V1C1
feature 248725;cg14328601;EXD3
feature 281491;cg12122597;KCNA4
feature 84889;cg21646032;RARB
feature 150431;cg23003783;GRM6
feature 281497;cg11672740;null
feature 445336;cg03564727;KCNA7
feature 445350;cg14792008;SNRNP70
feature 412580;cg10590861;ARMC7
feature 19363;cg01891252;null
feature 412581;cg25749101;ARMC7
feature 134054;cg16683416;null
feature 117671;cg03670393;null
feature 19366;cg02340083;null
feature 347042;cg04001333;FLVCR2
feature 101289;cg15106744;TIPARP
feature 232362;cg21131024;BAALC-AS2
feature 232360;cg18168101;BAALC-AS2
feature 412587;cg08378505;NT5C
feature 232364;cg16314639;BAALC-AS2
feature 445353;cg19281603;SNRNP70
feature 379828;cg04130484;null
feature 215985;cg08935195;null
feature 314295;cg18758900;null
feature 265137;cg14789214;KCNIP2
feature 101302;cg18346228;null
feature 117693;cg14349667;FGF5
feature 428987;cg20640432;CREB3L3
feature 412603;cg14818176;HN1
feature 68542;cg06261926;RBMS1
feature 117694;cg17080423;FGF5
feature 35776;cg12033297;MIR488
feature 396230;cg25921609;MYH10
feature 199617;cg06024559;null
feature 68546;cg02696675;RBMS1
feature 330690;cg06333307;ENOX1
feature 248787;cg04837071;EXD3
feature 52177;cg17400361;EIF2B4
feature 101328;cg07733993;LEKR1
feature 412631;cg13944286;NUP85
feature 150480;cg25462842;ADAMTS2
feature 84947;cg01806088;null
feature 281558;cg13761440;MPPED2
feature 314326;cg11970050;HMGA2
feature 3028;cg26785499;null
feature 265169;cg15529509;C10orf76
feature 281554;cg25385529;MPPED2
feature 134101;cg18456523;null
feature 412625;cg14400389;NUP85
feature 84955;cg10768206;LRRC3B
feature 134105;cg00865849;null
feature 52188;cg08562543;SNX17
feature 183263;cg20131263;PPP1R14C
feature 281561;cg10833551;null
feature 314340;cg01941585;HMGA2
feature 461799;cg16867777;TIAM1
feature 314336;cg13200550;RPSAP52
feature 347107;cg18628787;IFT43
feature 347116;cg26428962;null
feature 199656;cg09194322;PKD1L1
feature 117741;cg26917673;BMP3
feature 35821;cg08269653;BRINP2
feature 297961;cg09926046;DSCAML1
feature 52206;cg13882712;ZNF513
feature 150515;cg13702942;ADAMTS2
feature 248818;cg14384158;NSMF
feature 84981;cg11440344;null
feature 314354;cg07810733;HMGA2
feature 314355;cg16624984;HMGA2
feature 199668;cg04107525;PKD1L1
feature 347132;cg22916722;null
feature 68605;cg15635633;null
feature 396288;cg22573359;CCDC42
feature 461825;cg00733746;SCAF4
feature 19463;cg10450322;CDKN2C
feature 478208;cg04303560;PAGE5
feature 85001;cg21518279;SLC4A7
feature 314380;cg27481639;LLPH
feature 183309;cg08560465;PLEKHG1
feature 281620;cg24001477;ELP4
feature 35858;cg10620680;null
feature 429072;cg10223982;TMIGD2
feature 445456;cg09554406;TRPM4
feature 330781;cg08125291;null
feature 429082;cg07678904;FSD1
feature 150562;cg19489885;ADAMTS2
feature 478246;cg05143403;RRAGB
feature 216097;cg25441200;NOM1
feature 281638;cg21016855;PAX6
feature 3108;cg25137787;null
feature 396334;cg24092340;PIK3R6
feature 379945;cg11139864;null
feature 3117;cg02576892;null
feature 445480;cg26289436;CD37
feature 281643;cg01587682;PAX6
feature 265268;cg23931497;NOLC1
feature 35892;cg15462736;RASAL2
feature 3124;cg06532546;null
feature 232503;cg26202195;null
feature 183351;cg14081861;MTHFD1L
feature 52278;cg05484376;FNDC4
feature 199739;cg23513252;UPP1
feature 68665;cg17137077;PSMD14
feature 19512;cg09941363;RNF11
feature 281662;cg13891702;PAX6
feature 183358;cg06138468;MTHFD1L
feature 281668;cg20014398;PAX6
feature 298052;cg26293590;null
feature 281670;cg22982368;PAX6
feature 232512;cg07142723;DPYS
feature 35909;cg25461905;TEX35
feature 117831;cg17582074;null
feature 101448;cg00301159;PQLC2L
feature 412748;cg09446906;TMEM94
feature 232520;cg10303487;DPYS
feature 396362;cg07835141;PIK3R5
feature 265303;cg14681055;PITX3
feature 412752;cg05446253;CASKIN2
feature 150612;cg01981048;null
feature 85079;cg06014401;EOMES
feature 216148;cg07981013;null
feature 3159;cg22377505;null
feature 167006;cg25391023;BTNL2
feature 101468;cg12453631;null
feature 85086;cg18293662;null
feature 3167;cg15211996;ACTRT2
feature 35935;cg00124920;C1orf220
feature 248934;cg13922757;EHMT1
feature 347235;cg02735446;VASH1
feature 232548;cg15137369;LRP12
feature 52328;cg07628841;GPN1
feature 101481;cg05401764;SHOX2
feature 216170;cg14097304;MNX1
feature 85099;cg07413251;null
feature 117866;cg16349277;null
feature 117871;cg15771763;HNRNPDL
feature 248947;cg13434216;EHMT1
feature 232563;cg12578100;ZFPM2
feature 330871;cg17675311;TSC22D1
feature 101490;cg04521004;SHOX2
feature 117879;cg11380545;ENOPH1
feature 35960;cg14014471;RALGPS2
feature 248955;cg13649658;EHMT1
feature 150650;cg26855406;null
feature 216186;cg20420433;MNX1
feature 183416;cg24121503;AKAP12
feature 363640;cg11315754;ISLR2
feature 330872;cg02535735;TSC22D1
feature 478330;cg12799835;FAAH2
feature 248957;cg00004429;EHMT1
feature 216195;cg03413097;null
feature 281734;cg07434271;PAX6
feature 117891;cg23861617;TMEM150C
feature 347271;cg10050318;LRRC74A
feature 412800;cg23244877;TSEN54
feature 19591;cg11973877;OSBPL9
feature 232580;cg22202929;ZFPM2
feature 248970;cg13957837;EHMT1
feature 199817;cg23877720;VWC2
feature 167048;cg25032968;HLA-DRA
feature 330888;cg03363979;null
feature 248973;cg09879186;EHMT1
feature 199820;cg17093995;VWC2
feature 363669;cg02077702;ISLR
feature 298134;cg22107164;TMPRSS4
feature 380054;cg03308240;UBE2MP1
feature 281751;cg26261502;null
feature 298135;cg02236673;TMPRSS4
feature 281747;cg24701575;null
feature 429214;cg04563946;PLIN4
feature 445598;cg08326933;ALDH16A1
feature 232606;cg05687660;null
feature 461991;cg04847841;null
feature 117925;cg18948646;SCD5
feature 363683;cg00563495;STRA6
feature 429217;cg08563054;PLIN4
feature 134315;cg21772997;ANKRD55
feature 281770;cg08976874;null
feature 249005;cg05863502;CACNA1B
feature 216236;cg00173659;null
feature 134317;cg22709202;ANKRD55
feature 412854;cg08781140;MYO15B
feature 134322;cg16501561;ANKRD55
feature 445623;cg23223044;RPL13AP5
feature 363699;cg23719157;STRA6
feature 380082;cg26857370;null
feature 3255;cg25308086;PRDM16
feature 19640;cg00405069;RAB3B
feature 281788;cg09473664;RCN1
feature 199873;cg07621224;IKZF1
feature 281792;cg08512078;RCN1
feature 3274;cg14852736;PRDM16
feature 68810;cg09454925;KCNH7
feature 216268;cg05182265;UBE3C
feature 462024;cg05238769;OLIG2
feature 199891;cg16626194;IKZF1
feature 380117;cg08690094;null
feature 412886;cg05991442;RECQL5
feature 462038;cg04836472;null
feature 52437;cg11906781;BRE
feature 347357;cg16759100;null
feature 183515;cg01321962;ESR1
feature 134360;cg04055142;null
feature 232664;cg02102791;null
feature 52444;cg27639613;BRE
feature 36064;cg18941211;SOAT1
feature 478436;cg26122495;MTMR8
feature 281824;cg10244666;WT1
feature 281825;cg08575722;WT1
feature 347362;cg18991449;null
feature 363757;cg08033551;CYP11A1
feature 281836;cg12982322;WT1
feature 347373;cg18877233;CIPC
feature 281832;cg13066658;WT1
feature 445675;cg18081863;FCGRT
feature 429291;cg27296963;null
feature 3313;cg16348158;PRDM16
feature 3314;cg21394778;PRDM16
feature 101620;cg11876013;SCHIP1
feature 101623;cg12027068;SCHIP1
feature 265458;cg14885145;SUFU
feature 281842;cg25782229;WT1
feature 331006;cg10936999;TPT1
feature 281850;cg13641903;WT1
feature 281851;cg22533573;WT1
feature 118014;cg03147627;COPS4
feature 3328;cg04132510;PRDM16
feature 281861;cg22511262;WT1
feature 478468;cg17825572;null
feature 281863;cg25586361;WT1
feature 3337;cg10124445;PRDM16
feature 462093;cg14607407;IL10RB
feature 19723;cg18646864;ORC1
feature 396554;cg07669517;GLP2R
feature 281865;cg16092786;WT1
feature 85262;cg09668216;TGFBR2
feature 429332;cg25652610;TNFAIP8L1
feature 478484;cg06504563;LAS1L
feature 462100;cg05187003;IL10RB
feature 232735;cg27318570;null
feature 298265;cg06090739;UBE4A
feature 478489;cg13664654;LAS1L
feature 462105;cg03866569;IFNAR1
feature 183581;cg25206562;SYNE1
feature 216348;cg01469549;DNAJB6
feature 265509;cg17782974;TRIM8
feature 462118;cg10572943;IFNGR2
feature 150816;cg18484008;MGAT4B
feature 3362;cg03226435;PRDM16
feature 85282;cg03630790;TGFBR2
feature 85284;cg07613391;TGFBR2
feature 396590;cg05165825;GAS7
feature 183596;cg25591106;SYNE1
feature 134445;cg22155080;null
feature 396599;cg12642651;GAS7
feature 36145;cg13059719;FAM163A
feature 19761;cg26251270;GPX7
feature 429364;cg13944436;DPP9
feature 281910;cg18931760;EIF3M
feature 429365;cg15544596;DPP9
feature 396594;cg18657751;GAS7
feature 68916;cg03180819;SCN3A
feature 150839;cg15420035;SQSTM1
feature 183604;cg15332386;SYNE1
feature 249140;cg12227954;DIP2C
feature 36152;cg19804605;FAM163A
feature 19771;cg17438457;null
feature 199996;cg12288551;GRB10
feature 134467;cg16282552;null
feature 478533;cg12124912;VSIG4
feature 314695;cg25778262;CPM
feature 36163;cg02836963;FAM163A
feature 36164;cg21837826;FAM163A
feature 85316;cg19008646;null
feature 118087;cg11975718;HELQ
feature 3398;cg07622451;PRDM16
feature 314696;cg27076669;CPM
feature 396619;cg05558046;GAS7
feature 314697;cg21211357;CPM
feature 183632;cg16251777;SYNE1
feature 363856;cg20997706;CLK3
feature 413009;cg25355213;UNK
feature 150869;cg13041269;SQSTM1
feature 85337;cg27207907;null
feature 3418;cg05755889;PRDM16
feature 281951;cg06599914;QSER1
feature 232796;cg16580728;TMEM74
feature 413030;cg13298379;UNK
feature 3424;cg12133962;PRDM16
feature 150880;cg19091791;C5orf45
feature 232806;cg22268164;TRHR
feature 396654;cg13291283;GAS7
feature 396655;cg25116216;GAS7
feature 462189;cg10277546;DONSON
feature 183661;cg25833238;FBXO5
feature 200051;cg07399960;null
feature 101745;cg09100593;SMC4
feature 167283;cg01244342;HLA-DQA2
feature 200053;cg00118199;null
feature 396671;cg21376148;MYH13
feature 380286;cg21369679;DNAJA2
feature 380282;cg18206040;DNAJA2
feature 150915;cg19460016;TBC1D9B
feature 118146;cg10236603;null
feature 69000;cg00394494;SCN9A
feature 52618;cg01777397;CLIP4
feature 36235;cg06894687;QSOX1
feature 36236;cg03111951;QSOX1
feature 69005;cg22199615;SCN9A
feature 3472;cg07345710;PRDM16
feature 19856;cg24543286;SCP2
feature 249236;cg03979024;DIP2C
feature 331154;cg19294256;ZC3H13
feature 36251;cg19936954;QSOX1
feature 85404;cg25692785;ZNF860
feature 413094;cg10195415;TRIM65
feature 331175;cg02696428;LCP1
feature 118180;cg24275315;NKX6-1
feature 52645;cg09942743;ALK
feature 462241;cg27037013;null
feature 478624;cg24034992;YIPF6
feature 118184;cg17444738;NKX6-1
feature 101805;cg04132452;PPM1L
feature 478633;cg13370916;STARD8
feature 249271;cg19334176;DIP2C
feature 331185;cg21968535;null
feature 445875;cg03337057;TSKS
feature 249275;cg18247897;DIP2C
feature 134587;cg09062288;PDE4D
feature 3516;cg08739115;PRDM16
feature 347576;cg09272629;ALKBH1
feature 52671;cg10179251;ALK
feature 19908;cg14212966;SLC1A7
feature 3524;cg25150520;PRDM16
feature 3526;cg22497969;PRDM16
feature 118219;cg03470772;CDS1
feature 36299;cg14989164;LHX4
feature 249295;cg06952288;DIP2C
feature 363976;cg07018645;LMAN1L
feature 396759;cg02025583;TMEM220
feature 282070;cg03479289;KIAA1549L
feature 232913;cg13525837;KCNV1
feature 19926;cg19196684;SLC1A7
feature 19928;cg08970446;SLC1A7
feature 216537;cg04492769;null
feature 167385;cg20067471;null
feature 3549;cg07974025;PRDM16
feature 101855;cg03413208;null
feature 282074;cg07622833;KIAA1549L
feature 183779;cg16175941;CNKSR3
feature 19937;cg10438560;null
feature 85474;cg00718400;null
feature 151014;cg19473068;RASGEF1C
feature 216555;cg16384355;null
feature 167400;cg09889987;HLA-DOB
feature 36331;cg22430700;null
feature 249324;cg04926193;DIP2C
feature 216565;cg14362920;PTPRN2
feature 101878;cg02461627;SPTSSB
feature 282109;cg20583684;C11orf91
feature 3579;cg12800122;PRDM16
feature 396795;cg14544225;null
feature 298489;cg12159215;UPK2
feature 331259;cg04092803;LRCH1
feature 69123;cg13431028;STK39
feature 265735;cg20475000;USMG5
feature 216576;cg19261526;PTPRN2
feature 364033;cg26488183;FAM219B
feature 36360;cg01022200;KIAA1614
feature 413196;cg00282731;EVPL
feature 314894;cg12056977;PTPRB
feature 478732;cg08141049;null
feature 151054;cg08693705;MAPK9
feature 36366;cg12604950;KIAA1614
feature 429591;cg22079102;KDM4B
feature 282133;cg24871046;CD59
feature 413204;cg00498401;EVPL
feature 478739;cg01288367;PJA1
feature 429587;cg02633409;KDM4B
feature 429598;cg07846737;KDM4B
feature 380444;cg07809831;null
feature 249369;cg20472384;DIP2C
feature 216601;cg03900492;PTPRN2
feature 36378;cg13861536;KIAA1614
feature 265759;cg06075311;CALHM2
feature 232984;cg22052659;CSMD3
feature 396827;cg11486285;null
feature 364056;cg01737828;COX5A
feature 347675;cg21010031;NRXN3
feature 216610;cg13464117;PTPRN2
feature 265766;cg07895149;CALHM2
feature 396835;cg26960562;DNAH9
feature 364064;cg13902498;RPP25
feature 265762;cg18273501;CALHM2
feature 101926;cg04348254;null
feature 413230;cg10247252;GALR2
feature 282158;cg07164065;null
feature 429613;cg24214903;KDM4B
feature 36396;cg11258489;STX6
feature 413227;cg27494087;GALR2
feature 216621;cg04127606;PTPRN2
feature 3635;cg04605504;PRDM16
feature 216631;cg00423811;PTPRN2
feature 298545;cg21561712;SLC37A4
feature 331315;cg21875866;null
feature 413232;cg25022086;GALR2
feature 20023;cg26527263;null
feature 413244;cg18010718;ZACN
feature 69180;cg20074031;CERS6
feature 85569;cg23528400;TRIM71
feature 364102;cg11029746;PPCDC
feature 233030;cg06410104;null
feature 380480;cg04834502;N4BP1
feature 396865;cg11953916;ZNF18
feature 396873;cg02746232;MAP2K4
feature 265814;cg07869830;NEURL1
feature 233046;cg01356948;TRPS1
feature 446035;cg08300343;NUP62
feature 265809;cg07010146;CALHM3
feature 101979;cg16102247;BCHE
feature 380506;cg08645400;null
feature 85600;cg18415444;TRIM71
feature 134755;cg09645336;SMIM15
feature 3684;cg13875033;PRDM16
feature 347745;cg13033972;DIO2
feature 134766;cg19602446;null
feature 216686;cg17701146;PTPRN2
feature 167535;cg13477582;TAP2
feature 3694;cg05375699;PRDM16
feature 216684;cg26886268;PTPRN2
feature 249459;cg00954391;DIP2C
feature 3697;cg14712575;PRDM16
feature 265846;cg26550162;NEURL1
feature 413300;cg16672637;FOXJ1
feature 446069;cg01879458;VRK3
feature 364150;cg18775702;C15orf39
feature 151153;cg19897330;SCGB3A1
feature 52852;cg27230038;EHD3
feature 183926;cg23846443;NOX3
feature 413299;cg16038636;FOXJ1
feature 396926;cg04515268;null
feature 216699;cg19689679;PTPRN2
feature 364156;cg16377819;GOLGA6D
feature 52857;cg13795465;EHD3
feature 118392;cg19533294;AFF1
feature 282239;cg08202743;ABTB2
feature 380538;cg05815255;CBLN1
feature 249468;cg03038245;DIP2C
feature 380549;cg14933439;C16orf78
feature 216705;cg03966010;PTPRN2
feature 265858;cg08728732;SH3PXD2A
feature 69255;cg13436799;LRP2
feature 151179;cg11832309;FLT4
feature 167563;cg22158175;PSMB8
feature 347788;cg14373410;TSHR
feature 52876;cg14654795;XDH
feature 36493;cg25305993;null
feature 216717;cg14091258;PTPRN2
feature 85651;cg04397936;CRTAP
feature 331414;cg16985320;RB1
feature 85655;cg03774708;CRTAP
feature 249493;cg03738915;DIP2C
feature 3737;cg22862319;PRDM16
feature 446106;cg24296452;IZUMO2
feature 118428;cg14272573;AFF1
feature 216732;cg00476944;PTPRN2
feature 151197;cg24576804;FLT4
feature 3745;cg20962938;PRDM16
feature 85669;cg02239862;SUSD5
feature 265890;cg19726408;SH3PXD2A
feature 134820;cg25656762;null
feature 85671;cg03497399;SUSD5
feature 151204;cg23239874;FLT4
feature 216747;cg27656074;PTPRN2
feature 200362;cg01702225;null
feature 413356;cg17129028;QRICH2
feature 331439;cg19296958;RB1
feature 85674;cg07008600;SUSD5
feature 315055;cg14847514;TPH2
feature 347816;cg17498523;GTF2A1
feature 69296;cg17490052;FASTKD1
feature 446133;cg10592766;MYH14
feature 265911;cg00730670;SH3PXD2A
feature 265904;cg18675043;SH3PXD2A
feature 3764;cg26846424;PRDM16
feature 216766;cg02660277;PTPRN2
feature 3775;cg12635919;PRDM16
feature 380614;cg09405758;ZNF423
feature 3779;cg17438636;PRDM16
feature 36555;cg06361127;ZNF648
feature 413387;cg07625129;SPHK1
feature 184015;cg17869152;null
feature 36559;cg19866866;ZNF648
feature 151251;cg15264904;MGAT1
feature 364247;cg15851274;SIN3A
feature 397010;cg19001809;ELAC2
feature 380627;cg16728225;ZNF423
feature 282332;cg14022090;EHF
feature 216797;cg20956114;PTPRN2
feature 216796;cg14795528;PTPRN2
feature 265958;cg08370839;OBFC1
feature 200416;cg20062492;EGFR
feature 446181;cg07919466;KCNC3
feature 462563;cg20643029;CLDN14
feature 249579;cg14121234;DIP2C
feature 233195;cg09439192;SLC30A8
feature 233194;cg07459489;SLC30A8
feature 118504;cg09590733;DSPP
feature 233192;cg27105990;null
feature 85743;cg05432305;PDCD6IP
feature 20206;cg09771429;LDLRAD1
feature 184050;cg03561416;ARID1B
feature 249587;cg07870074;DIP2C
feature 282357;cg15988239;PDHX
feature 331508;cg17527195;null
feature 151287;cg26933422;MGAT1
feature 282353;cg25948180;PDHX
feature 380656;cg01502811;null
feature 151284;cg17507374;MGAT1
feature 315133;cg02765179;null
feature 200441;cg17479718;null
feature 462588;cg24127719;null
feature 102141;cg10351165;MECOM
feature 462584;cg22274813;null
feature 102144;cg25208291;MECOM
feature 380679;cg00976157;null
feature 134918;cg04206637;null
feature 462594;cg26144458;null
feature 462593;cg24112562;null
feature 380686;ch.16.48460639F;null
feature 364299;cg05954702;IMP3
feature 298773;cg25303540;RNF26
feature 36627;cg12446763;RNASEL
feature 134935;cg16280141;HTR1A
feature 134933;cg04694812;HTR1A
feature 216859;cg04207084;PTPRN2
feature 216858;cg15771432;PTPRN2
feature 282393;cg20971158;CD44
feature 364312;cg07061707;IMP3
feature 413467;cg20690125;RHBDF2
feature 53022;cg23627062;LINC00486
feature 233250;cg22975816;EXT1
feature 249632;cg13686013;null
feature 20259;cg02239021;CYB5RL
feature 397091;cg06797835;COX10
feature 462626;cg16851417;SIM2
feature 479009;cg00908601;FOXO4
feature 200484;cg24399349;null
feature 446250;cg17774764;SPIB
feature 118573;cg25295218;ABCG2
feature 102191;cg17218628;null
feature 200499;cg05170183;VOPP1
feature 216882;cg01818715;PTPRN2
feature 200503;cg08337633;VOPP1
feature 233268;cg20389847;EXT1
feature 118585;cg00086710;PPM1K
feature 380729;cg26658371;PAPD5
feature 413499;cg07439157;CYGB
feature 233278;cg04395788;EXT1
feature 462649;cg04648480;SIM2
feature 315194;cg15017728;CAPS2
feature 315195;cg04395822;CAPS2
feature 167741;cg19412007;PSMB9
feature 298811;cg20822818;USP2
feature 266052;cg16071118;GSTO2
feature 315205;cg07684809;GLIPR1L1
feature 282438;cg19112204;SLC1A2
feature 233281;cg14485744;EXT1
feature 479044;cg04037732;NLGN3
feature 151366;cg02666302;BTNL9
feature 151367;cg02456218;BTNL9
feature 298818;cg15648239;USP2
feature 85833;cg06197503;STAC
feature 151370;cg11320449;BTNL9
feature 167755;cg13869180;PSMB9
feature 347976;cg15922990;FLRT2
feature 53070;cg08818866;LTBP1
feature 102222;cg18664508;ACTRT3
feature 282448;cg07724977;SLC1A2
feature 3925;cg26786407;MEGF6
feature 446288;cg04541675;FAM71E1
feature 216917;cg16518986;PTPRN2
feature 298846;cg00156427;THY1
feature 216927;cg15733309;PTPRN2
feature 69468;cg22071224;LINC01124
feature 348004;cg01023967;null
feature 249697;cg10435618;null
feature 85859;cg13267619;null
feature 167782;cg19628603;PPP1R2P1
feature 429921;cg13451483;CATSPERD
feature 479085;cg21201934;ZMYM3
feature 380782;cg02227036;null
feature 85869;cg09550909;TRANK1
feature 216943;cg12297440;PTPRN2
feature 20335;cg17819831;SSBP3
feature 282484;cg01484799;null
feature 429940;cg19406914;DUS3L
feature 135024;cg15100112;null
feature 233333;cg16692227;SAMD12
feature 85881;cg12624667;TRANK1
feature 233337;cg05230834;SAMD12
feature 446333;cg16212298;LRRC4B
feature 249726;cg05931497;LARP4B
feature 446329;cg11738530;LRRC4B
feature 200572;cg14806627;ZNF713
feature 233345;cg05290695;SAMD12
feature 429956;cg05885668;null
feature 151428;cg05258736;null
feature 397184;cg02228492;HS3ST3B1
feature 135051;cg02577849;ADAMTS6
feature 298895;cg00499837;NECTIN1
feature 249741;cg04426620;null
feature 315274;cg03898044;null
feature 20366;cg19756821;null
feature 397193;cg08628428;null
feature 348053;cg10172979;null
feature 53138;cg27318810;MYADML
feature 36755;cg26809372;LAMC1
